Cst_Cnt,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Sta_ID,Quarter,Sta_Code,Distance,Date,Year,Month,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
32250,2010-01-13-C-32NM,201001,20100107000550,07000550,20-1001NM-MX-092-0937-07000550,070.0 055.0,1,OCO,-16.37700,02/04/2010,2010,2,40270,92,12/30/1899 09:37:00,36.050000,36,3.000000,N,-122.008333,-122,0.500000,W,70.0,70.000000,70.000000,55.0,55.000000,55.000000,1309,,,RV NEW HORIZON,32NM,MX,91,902,,70.0 55.0,3101,1001,84.70000,,,,,,,,,,32,2,1009.400,13.20000,11.40000,,,,
32251,2010-01-13-C-32NM,201001,20100107000600,07000600,20-1001NM-MX-092-0542-07000600,070.0 060.0,1,OCO,-36.26500,02/04/2010,2010,2,40270,92,12/30/1899 05:42:00,35.880000,35,52.800000,N,-122.360000,-122,21.600000,W,70.0,70.000000,70.000000,60.0,60.000000,60.000000,3012,,,RV NEW HORIZON,32NM,MX,90,892,,70.0 60.0,3101,1001,43.50000,,,,,,,,,,21,4,1009.900,13.30000,11.80000,,,,
32252,2010-01-13-C-32NM,201001,20100107000700,07000700,20-1001NM-MX-061-2348-07000700,070.0 070.0,1,OCO,-76.12500,02/03/2010,2010,2,40239,61,12/30/1899 23:48:00,35.551667,35,33.100000,N,-123.071667,-123,4.300000,W,70.0,70.000000,70.000000,70.0,70.000000,70.000000,3846,9,,RV NEW HORIZON,32NM,MX,89,882,,70.0 70.0,3101,1001,40.10000,,,,,,,28,4,10,18,8,1009.300,15.10000,13.00000,1,2,2,8
32253,2010-01-13-C-32NM,201001,20100107000800,07000800,20-1001NM-MX-061-1734-07000800,070.0 080.0,1,OCO,-116.3210,02/03/2010,2010,2,40239,61,12/30/1899 17:34:00,35.216667,35,13.000000,N,-123.783333,-123,47.000000,W,70.0,70.000000,70.000000,80.0,80.000000,80.000000,4072,19,,RV NEW HORIZON,32NM,MX,88,872,,70.0 80.0,3101,1001,30.30000,,,,,,,29,2,6,12,4,1011.500,14.30000,13.00000,1,6,3,7
32254,2010-01-13-C-32NM,201001,20100107000900,07000900,20-1001NM-MX-061-1136-07000900,070.0 090.0,1,OCO,-155.8890,02/03/2010,2010,2,40239,61,12/30/1899 11:36:00,34.883333,34,53.000000,N,-124.478333,-124,28.700000,W,70.0,70.000000,70.000000,90.0,90.000000,90.000000,4323,,,RV NEW HORIZON,32NM,MX,87,862,,70.0 90.0,3101,1001,32.60000,,,,,,,,,,14,2,1009.000,13.40000,12.00000,,,,
32255,2010-01-13-C-32NM,201001,20100107330500,07330500,20-1001NM-MX-031-2319-07330500,073.3 050.0,1,OCO,-1.732000,01/31/2010,2010,1,40209,31,12/30/1899 23:19:00,35.643333,35,38.600000,N,-121.255000,-121,15.300000,W,73.3,73.300000,73.300000,50.0,50.000000,50.000000,32,3,,RV NEW HORIZON,32NM,MX,75,742,,73.3 50.0,3101,1001,31.00000,,,,,,,30,2,8,24,13,1013.200,14.20000,12.00000,1,6,4,8
32256,2010-01-13-C-32NM,201001,20100107330550,07330550,20-1001NM-MX-002-0235-07330550,073.3 055.0,1,OCO,-21.83600,02/01/2010,2010,2,40180,2,12/30/1899 02:35:00,35.475000,35,28.500000,N,-121.611667,-121,36.700000,W,73.3,73.300000,73.300000,55.0,55.000000,55.000000,999,,,RV NEW HORIZON,32NM,MX,76,752,,73.3 55.0,3101,1001,52.00000,,,,,,,,,,27,17,1013.300,13.00000,11.20000,,,,
32257,2010-01-13-C-32NM,201001,20100107330600,07330600,20-1001NM-MX-092-2052-07330600,073.3 060.0,1,OCO,-41.01700,02/04/2010,2010,2,40270,92,12/30/1899 20:52:00,35.313333,35,18.800000,N,-121.950000,-121,57.000000,W,73.3,73.300000,73.300000,60.0,60.000000,59.900000,2299,8,,RV NEW HORIZON,32NM,MX,93,922,,73.3 60.0,3101,1001,50.60000,,,,,,,18,4,6,10,21,1007.100,14.30000,12.70000,2,6,8,6
32258,2010-01-13-C-32NM,201001,20100107670490,07670490,20-1001NM-MX-031-1738-07670490,076.7 049.0,1,ST,-6.441000,01/31/2010,2010,1,40209,31,12/30/1899 17:38:00,35.088333,35,5.300000,N,-120.778333,-120,46.700000,W,76.7,76.700000,76.700000,49.0,49.000000,49.000000,73,9,,RV NEW HORIZON,32NM,MX,74,732,,76.7 49.0,3101,1001,56.00000,,,,,,,31,3,6,35,5,1014.100,14.20000,12.00000,1,2,6,6
32259,2010-01-13-C-32NM,201001,20100107670550,07670550,20-1001NM-MX-031-1051-07670550,076.7 055.0,1,ST,-30.78700,01/31/2010,2010,1,40209,31,12/30/1899 10:51:00,34.888333,34,53.300000,N,-121.210000,-121,12.600000,W,76.7,76.700000,76.700000,55.0,55.000000,55.100000,568,,,RV NEW HORIZON,32NM,MX,72,712,,76.7 55.0,3101,1001,62.70000,,,,,,,,,,30,10,1012.600,13.50000,11.70000,,,,
